time,ax,ay,az,wx,wy,wz,Bx,By,Bz,latitude,longitude,altitude,speed
2024-11-15T22:06:18.843Z,-0.0418,1.7855,-0.8588,-0.2227,0.0282,0.2833,30.4804,-11.0593,-129.9325,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.851Z,-0.1402,1.7786,-0.7141,-0.1242,-0.0176,0.2777,30.4919,-10.8730,-129.9705,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.861Z,-0.1679,1.6879,0.0341,-0.0570,0.0246,0.2904,30.6122,-11.1331,-129.8559,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.871Z,-0.1679,1.6879,0.0341,0.0075,0.1110,0.3082,30.6894,-10.8477,-130.0884,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.881Z,-0.1403,1.7191,0.2549,0.0732,0.2039,0.3233,30.4774,-11.0320,-130.0554,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.891Z,-0.0339,1.8074,0.3411,0.1243,0.2887,0.3284,30.6323,-11.2389,-129.5702,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.901Z,-0.0339,1.8074,0.3411,0.1457,0.3277,0.3302,30.7689,-11.5946,-129.8872,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.911Z,-0.0051,1.8695,0.1162,0.1262,0.3328,0.3209,31.0478,-11.6002,-129.5366,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.921Z,0.0653,2.2902,-0.5444,0.0799,0.3314,0.2797,31.1705,-11.6742,-129.5534,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.931Z,0.0653,2.2902,-0.5444,0.0126,0.3056,0.2142,31.3876,-11.9189,-129.6475,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.941Z,0.2303,2.4305,-0.7322,-0.0541,0.2466,0.1443,31.4380,-11.8474,-129.6346,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.951Z,0.2049,2.4442,-0.9385,-0.1227,0.1438,0.1014,31.5589,-11.9057,-129.7022,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.961Z,0.2049,2.4442,-0.9385,-0.1785,0.0181,0.0894,31.6743,-11.8944,-129.6453,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.971Z,-0.0301,2.4468,-0.9043,-0.2041,-0.0940,0.1087,31.6229,-11.6142,-129.4149,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.982Z,-0.4527,2.2453,-0.1896,-0.1933,-0.1870,0.1440,31.4431,-11.7967,-129.8082,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:18.991Z,-0.4527,2.2453,-0.1896,-0.1425,-0.2505,0.1913,31.3390,-11.6901,-129.5733,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:19.001Z,-0.5481,2.0635,0.3043,-0.0657,-0.3005,0.2258,31.1872,-11.6475,-129.3878,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:19.011Z,-0.4677,1.8916,1.3221,0.0420,-0.3434,0.2443,31.0887,-11.8769,-129.7239,37.42278984727376,-122.16387303035751,29.6727,0.0436
2024-11-15T22:06:19.021Z,-0.4677,1.8916,1.3221,0.1541,-0.3861,0.2443,30.6388,-11.8518,-129.9403,37.42278984727376,-122.16387303035751,29.6727,0.0436
