time,ax,ay,az,wx,wy,wz,Bx,By,Bz,latitude,longitude,altitude,speed
2024-11-15T22:01:13.696Z,0.1726,0.3932,-0.5260,-0.0312,-0.0870,-0.1484,35.2056,-7.6805,-127.3348,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.706Z,0.3462,0.1720,0.0120,-0.0420,-0.1637,-0.2980,35.3773,-7.4293,-127.0340,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.716Z,0.5014,0.0326,0.2962,-0.0168,-0.1484,-0.3267,35.0028,-7.6405,-127.1852,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.726Z,0.5014,0.0326,0.2962,-0.0017,-0.1013,-0.3023,35.0185,-7.3589,-127.3867,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.736Z,0.3252,0.1501,0.2519,0.0053,-0.0417,-0.1968,35.0276,-7.0931,-127.2112,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.746Z,-0.1117,0.3890,0.0497,0.0552,-0.0683,-0.0427,35.0293,-7.0137,-127.1735,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.756Z,-0.1117,0.3890,0.0497,0.1111,-0.0889,0.0248,34.8404,-7.1924,-127.3920,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.766Z,-0.2442,0.7354,0.1535,0.1483,-0.0753,0.0042,34.9590,-7.1200,-127.0474,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.776Z,0.1982,0.8661,0.0101,0.1694,-0.0479,-0.0661,34.6719,-7.2375,-127.2712,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.786Z,0.1982,0.8661,0.0101,0.1683,-0.0182,-0.1354,34.7997,-7.3733,-126.9376,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.796Z,0.3323,0.9440,-0.2897,0.1489,0.0004,-0.1802,34.7795,-7.4651,-127.0088,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.807Z,0.0639,0.9657,-0.4195,0.1088,0.0046,-0.1815,34.7398,-7.3081,-126.9354,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.816Z,0.0639,0.9657,-0.4195,0.0651,-0.0104,-0.1405,34.6621,-7.4824,-127.0159,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.826Z,-0.4337,0.9728,-0.4978,0.0291,-0.0525,-0.0865,34.7550,-7.5008,-126.9873,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.837Z,-0.5052,0.9941,-0.5101,-0.0006,-0.0892,-0.0370,34.5972,-7.3863,-126.7857,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.846Z,-0.5052,0.9941,-0.5101,-0.0253,-0.1207,-0.0048,34.7157,-7.3722,-126.7262,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.856Z,-0.2733,1.0486,-0.6318,-0.0564,-0.1539,0.0130,34.5105,-7.5625,-127.1963,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.866Z,-0.2733,1.0486,-0.6318,-0.0904,-0.1763,0.0206,34.4822,-7.3031,-127.0539,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.876Z,-0.0817,1.1251,-0.7607,-0.1371,-0.1843,0.0209,34.7190,-7.1217,-127.2136,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.887Z,0.1906,1.2404,-0.9559,-0.1870,-0.1728,0.0224,34.4499,-7.1748,-127.5170,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.896Z,0.1906,1.2404,-0.9559,-0.2246,-0.1594,0.0183,34.2213,-7.0088,-127.5282,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.906Z,0.2710,1.3018,-0.9383,-0.2423,-0.1506,0.0066,34.1959,-6.9308,-127.6172,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.915Z,0.4253,1.4616,-0.7823,-0.2444,-0.1436,-0.0165,34.1248,-6.8105,-127.7575,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.926Z,0.4253,1.4616,-0.7823,-0.2369,-0.1288,-0.0416,34.2123,-6.7677,-127.7515,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.937Z,0.4815,1.5451,-0.6974,-0.2109,-0.1050,-0.0601,33.9614,-6.4998,-127.4250,37.42278651478471,-122.16389089625362,29.1421,0.0000
2024-11-15T22:01:13.946Z,0.4828,1.6269,-0.4834,-0.1913,-0.0611,-0.0604,33.9851,-6.2846,-127.4957,37.42278651478471,-122.16389089625362,29.1421,0.0000
